archivo,linea,texto_original,texto_nuevo
20 - tránsitos.md,1446,"Este tránsito hace que Urano toque el Sol generándote mucha inquietud, ya que se viene un cambio que hace que rompas estructuras, sobre todo en el área de (YYYY). Como tienes un lado conservador, los cambios pueden venir de la mano de otras personas que traen innovaciones, nuevas posturas e ideas. Es un tránsito de rupturas, liberaciones y quiebres que barre con ataduras del pasado.",
20 - tránsitos.md,1450,"El tránsito de Urano a la Luna natal en (YYYY) señala que necesitas hacer un cambio en tu vida hogareña, o bien con respecto a tu madre y las mujeres en general. Puede implicar mudanzas, sobre todo si son repentinas e inesperadas. También te puede traer angustia porque necesitas más libertad y desapego. Te sientes invadido, pero al mismo tiempo anhelas conservar aquello que te encierra pues te da un fuerte sentido de pertenencia. Debes encontrar la distancia justa en el vínculo con otros para no sentirte ahogado. Puede que vivas este tránsito como algo ajeno que la vida te trae.",
20 - tránsitos.md,1454,"El tránsito de Urano a Mercurio natal en (YYYY) te produce cambios a nivel de la mente, haciendo que aumente tu interés por lo novedoso; es un excelente momento para estudiar cosas nuevas. Verás cómo se transforman tus actitudes y tu modo de ver las cosas: hay más desapego, más libertad y respuestas novedosas a viejos problemas. Como Mercurio representa a los hermanos y a los pares, este tránsito puede provocar rupturas y peleas para reajustar estos vínculos.",
20 - tránsitos.md,1458,"El tránsito de Urano a Venus natal en (YYYY) suele traer cambios en las relaciones haciendo que aquellas que no funcionan y se mantienen por compromiso se caigan. Es momento de experimentar nuevas formas de sentir y vincularte con más libertad, sin tantos condicionamientos. Este tránsito puede provocar enamoramientos fulminantes, inesperados o el inicio de relaciones con gente que conoces de manera extraña. Como Venus es un planeta femenino, durante este tránsito muchos hombres viven los cambios de Urano a través de una mujer; quizás no son ellos los que necesitan libertad sino que una mujer en su vida se los exige.",
20 - tránsitos.md,1462,"Con Urano en tránsito a Marte natal en (YYYY), las circunstancias externas te obligan a dar respuestas originales y a adaptarte a nuevas condiciones de vida. Este contacto te genera mucha impaciencia e irritabilidad.",
20 - tránsitos.md,1466,"Con Urano en tránsito a Júpiter natal en (YYYY) cambia tu visión del mundo: es un momento de expansión y cambio pero debes cuidarte de proyectos e ideales utópicos. Surge en tí una necesidad de liberarte de las creencias que te restringen o encierran. Como consecuencia, puede que pierdas contacto con la realidad y hagas cambios demasiado radicales y precipitados. Suele ser una etapa de viajes, sobre todo si son inesperados, repentinos o a lugares exóticos.",
20 - tránsitos.md,1470,"Urano en tránsito a Saturno natal en (YYYY) produce en tí un encuentro entre lo viejo y lo nuevo. Es momento de que te rebeles contra las circunstancias que soportabas únicamente por deber o culpa o porque te brindan seguridad. Este tránsito hace que te vuelvas más arriesgado y le des lugar a lo nuevo. También implica un momento de tensión al dejar de lado lo conocido sin saber con qué te encontrarás. Puede que sientas que las estructuras que te sostenían se desmoronan, sobre todo si te apoyas demasiado en lo externo en vez de en tí mismo. También puede que se te presenten conflictos con figuras de autoridad como padres o jefes.",
20 - tránsitos.md,1484,"Con Neptuno en tránsito por la casa tres entre (YYYY) y (YYYY) sentirás que tu mente se sensibiliza tornándose fácilmente influenciable y que no te es posible fijar límites entre tus pensamientos y los de los demás. Aumentan así la confusión y la desorganización mental, y hay mayor conexión con el mundo onírico. Pueden darse situaciones confusas o engañosas con alguno de tus hermanos, tal vez debas sacrificarte por alguno de ellos. Es un período ideal para que te conectes con tu inconsciente a partir de terapias alternativas.",
20 - tránsitos.md,1488,"Con Neptuno en tránsito por la casa cuatro entre (YYYY) y (YYYY) suele aumentar la desorganización en la familia y puede que vivas situaciones caóticas en el hogar. Debes estar atento si vas a realizar negocios inmobiliarios porque este tránsito es bastante propenso a los engaños. Vas a sentirte más sensible, necesitando estar contigo mismo y en silencio.",
20 - tránsitos.md,1504,"Neptuno en tránsito por la casa once desde (YYYY) y hasta (YYYY) puede traerte incertidumbre o descontento con respecto a tus objetivos de vida. Es un buen momento para que te conectes con grupos u organizaciones que antes no te interesaban. La casa once está vinculada con la amistad. En su vertiente positiva, Neptuno indica amigos que te brindan su apoyo y te ayudan a ensanchar tu horizonte y abrir los ojos a metas y visiones nuevas, posiblemente de carácter espiritual o metafísico. En su versión negativa, este tránsito indica amigos que te defraudan o abandonan. En este caso, Neptuno exige renunciar a las altas expectativas de la amistad para aprender a ser más tolerante con los demás y a aceptarlos tal como son.",
20 - tránsitos.md,1526,"Con el tránsito de Neptuno por Venus en (YYYY) te es difícil tener una visión realista de tu pareja. En caso de empezar una relación durante este tránsito, seguramente idealices demasiado al otro. Si ya estás en pareja, puede que tengas que sacrificarte de algún modo por esa persona o adaptarte a sus necesidades. En su aspecto positivo, este tránsito incrementa tus capacidades artísticas, te vuelve más comprensivo, generoso y menos rígido en tus vínculos.",
20 - tránsitos.md,1534,"El tránsito de Neptuno por el ascendente a partir de (YYYY) estimula tu deseo de trascender o entregarte a un ideal y suele venir acompañado de experiencias de carácter religioso. Con Neptuno siempre debes discriminar qué ideal o sistema de creencias sostener para no quedarte en una propuesta utópica que te desilusione. En su aspecto positivo, este tránsito te ayuda a disolver los rasgos más rígidos o estructurados de tu personalidad y te permite una apertura hacia lo trascendente.",
20 - tránsitos.md,1582,"Plutón en tránsito por casa doce a partir de (YYYY) te permite sacar a la luz aquellos aspectos de tu personalidad que hasta el momento permanecían reprimidos o no reconocías como propios. De este modo, podrás afrontarlos e integrarlos a tu propia identidad. Durante este tránsito puede que se reactiven problemas pasados que quedaron sin resolver, muchas veces a través del reencuentro con personas del pasado.",
20 - tránsitos.md,1600,"Mercurio el planeta que representa cómo pensamos y nos expresamos, así como nuestro vínculo con los pares. Plutón te llama a vivir una transformación a través de una crisis profunda en Mercurio. Esto indica que lo que está en proceso de cambio es tu modo de pensar y comunicar. Es normal que durante el tránsito vivas estados mentales obsesivos, pues Plutón necesita tocar fondo para poder resurgir. Puede que salgan a la luz situaciones que estaban ocultas. Los momentos más fuertes coinciden con el tránsito exacto sobre el planeta, en este caso (YYYY).",
20 - tránsitos.md,1608,"Marte el planeta que representa cómo nos afirmamos en la vida y cómo obtenemos lo que deseamos. Plutón te llama a vivir una transformación a través de una crisis profunda en Marte. Esto indica que lo que está en proceso de cambio es la manera de luchar por tu propia vida, de comprometerte contigo mismo, de hacer valer tus derechos ante los otros e ir en pos de tus propios deseos. Los momentos más fuertes coinciden con el tránsito exacto sobre el planeta, en este caso (YYYY).",
22 - progresiones.md,131,"La Luna nueva progresada a partir de (agregar fecha) marca un surgimiento, la liberación de un nuevo impulso. Hay anhelos de una vida nueva, de empezar un nuevo ciclo, aunque todavía hay confusión y no sabes muy bien hacia dónde ir. Como está en tu casa (YYYY), el impulso se da sobre todo en el área de (YYYY)",
22 - progresiones.md,139,"Es momento de acción. Queda establecido el rumbo de la etapa iniciada en (YYYY), tus impulsos se consolidan, manifestándose en estructuras concretas.",
22 - progresiones.md,143,Es momento de expresar en el mundo aquello que empezó en (YYYY) y a lo que fuiste dándole forma. Se consolida el proceso como dirección de vida y camino de desarrollo personal.,
22 - progresiones.md,147,"Lo que indica que es un momento de plenitud, de claridad, donde puedes ver todo el camino recorrido desde el inicio del ciclo en (YYYY). Tus experiencias se asimilan y puedes ver los frutos de esto. En este momento puede surgir la búsqueda de nuevos significados.",
22 - progresiones.md,151,En este período tienes la oportunidad de incorporar aquellos aspectos que necesitaste negar para poder darle forma a lo iniciado en (YYYY). Puede ser un momento muy enriquecedor pues te ofrece la posibilidad de hacerte cargo de las cosas. Es hora de compartir con otros lo aprendido.,
22 - progresiones.md,155,Es entonces una etapa de renuncia donde se siente el final de un ciclo que empezó hace casi 30 años. Ya incorporaste a tu vida las cosas que tenías que aprender e inicia así una transición hasta la nueva conjunción Sol Luna progresada a partir de (YYYY).,
22 - progresiones.md,165,"Venías de un período de dispersión y apatía y te pusiste en acción. Aumentó así tu fuerza para darle comienzo a nuevos proyectos y te sientes más entusiasmado en general, con el foco puesto en tí mismo, Aries es un signo sumamente individualista que no siempre tiene en cuenta a los demás. Durante esta proluna selen ser más frecuentes los arrebatos, los enojos e impaciencias. La proluna estará en este signo hasta los (YYYY) años aproximadamente.",
22 - progresiones.md,169,"A tus (YYYY) años aproximadamente, empezaste a enfocarte en darle forma a lo que habías comenzado con entusiasmo en años anteriores. En esta etapa necesitas sustentar tus impulsos y llevarlos hacia un resultado concreto que perdure en el tiempo. Te vuelves menos fogoso y a la vez más práctico, metódico y rutinario. Debes tener cuidado de que esta búsqueda de estabilidad y seguridad no se transforme en pesadez. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.",
22 - progresiones.md,173,"A tus (YYYY) años aproximadamente, dejaste atrás la pesadez y estabilidad anterior para darle lugar a un período en el que predomina lo social. Te sientes mucho más liviano, desapegado, con facilidad para adaptarte a las circunstancias que te tocan. Se acrecienta tu capacidad para comunicar tus ideas y te vuelves más fluido en tu forma de expresarte. Durante esta progresión suelen aumentar los viajes cortos y todo tipo de desplazamientos y contactos. Si llevas la energía geminiana a un extremo corres el riesgo de caer en conductas demasiado superficiales o irresponsables que podrían atentar contra tus vínculos. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.",
22 - progresiones.md,177,"A tus (YYYY) años aproximadamente, te volviste mucho más selectivo en tus vínculos luego de vivir una etapa geminiana cargada de asociaciones. En este nuevo período buscas relacionarte desde un lugar más profundo e íntimo. Necesitas momentos de retiro y soledad: aumenta en tí la introversión, el interés por el pasado, la familia y las tradiciones.",
22 - progresiones.md,179,"Cáncer es uno de los signos más sensibles y está sujeto a frecuentes altibajos emocionales, por eso durante este período debes cuidarte de no sucumbir a una susceptibilidad extrema y caprichosa. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.",
22 - progresiones.md,183,"A tus (YYYY) años aproximadamente, se produjo un giro notable en tu vida volviéndote mucho más extrovertido, determinado y seguro de tí mismo. Dejaste atrás las susceptibilidades e indecisiones de la etapa anterior para salir del cascarón y así reafirmarte y destacarte frente al entorno. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.",
22 - progresiones.md,187,"A tus (YYYY) años aproximadamente, la extroversión y determinación leoninas dieron lugar a un modo mucho más práctico, adaptable y terrenal en tí. Dejaste atrás tus ilusiones para enfocarte en una realidad objetiva y sacar el mejor provecho de las situaciones. A través de un riguroso autoexamen reconoces tus limitaciones, lo que te lleva a una apreciación más realista y humilde de tí. Corres el riesgo de que tu amor por los detalles y el orden se transforme en una obsesión que termine agobiándote. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.",
22 - progresiones.md,191,"Aproximadamente a tus (YYYY) años empezaste a sentir que era hora de liberarte de actitudes fastidiosas y detallistas características de los últimos años. En este nuevo período, más que apoyarte en una rutina metódica y sofocante buscas crear ambientes armónicos y equilibrados. Aumenta tu interés por la vida social. En vez de preocuparte por la utilidad de un objeto, te inclinas por tus cualidades estéticas o artísticas. Te haces más flexible y comprensivo, lo que te permite desplegar ciertas cualidades librianas como la diplomacia, el interés por la cultura y la justicia. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.",
22 - progresiones.md,195,"Aproximadamente a tus (YYYY) años te embarcaste en un período de crisis y cambios trascendentales. Te volviste más selectivo en los vínculos, cortando ciertas relaciones para poder conectarte de modo más profundo y comprometido. Escorpio es un signo de agua, que hace que aumente durante esta etapa tu sensibilidad. Intenta evitar los extremos y estar del lado del eterno conflicto. De lo contrario, corres el riesgo de quedarte enganchado en situaciones que te traigan resentimiento. Si aprendes a soltar podrás llegar al fondo de cuestiones que te posibilitan un cambio profundo. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.",
22 - progresiones.md,199,"A tus (YYYY) años aproximadamente empezaste un período de expansión con un anhelo por trascender y encontrar nuevos y más amplios significados. Sagitario es un signo de fuego, y por ende durante esta fase sentirás que se acrecienta tu individualismo y entusiasmo. Suelen estar presentes los viajes y contactos con el extranjero; también puede darse un despertar religioso en tí. Con Sagitario debes resguardarte de las idealizaciones, del exceso de confianza, la falta de moderación y el despilfarro. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.",
22 - progresiones.md,203,"A tus (YYYY) años aproximadamente, empezaste un período de realismo y austeridad dejando atrás las exageraciones de Sagitario. Durante esta etapa es momento de pagar por la fiesta de optimismo y despilfarro de la fase anterior. Quizás debas asumir nuevas responsabilidades que te hagan renunciar a la libertad y el permisivismo de otros tiempos. Sea cual fuere el caso, pasas de una etapa de expansión a otra de contracción. Comienza un estado vinculado a la búsqueda de seguridad material, te vuelves más precavido y organizado, más forma y maduro. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.",
22 - progresiones.md,207,A tus (YYYY) años aproximadamente empezaste un período de alivianamiento donde te liberaste de las exigencias y la rígida rutina de la etapa anterior. Aumentan así tu libertad y tus ganas de relacionarte con gente distinta y aprender cosas nuevas. Es un buen momento para introducir cambios en las situaciones o vínculos que te asfixian e impiden evolucionar. Debes encontrar la distancia justa para que en tus relaciones no se destruya el vínculo ni te sientas atrapado. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.,
22 - progresiones.md,211,"A tus (YYYY) años aproximadamente empezaste un período de aislamiento e introversión. Al aumentar tu sensibilidad te sientes invadido por el entorno y necesitas momentos de silencio y meditación. Suele ser una etapa angustiante donde prevalece el desorden y la confusión, y la lógica y la voluntad parecen adormecerse. En un aspecto positivo, te vuelves más romántico, compasivo y tolerante con los demás. Es un buen momento para que desarrolles alguna forma de arte que te permita canalizar tu imaginación y sensibilidad. La proluna estará en este signo hasta tus (YYYY) años aproximadamente.",
22 - progresiones.md,217,A tus (YYYY) años aproximadamente te trae éxito y reconocimiento del entorno.,
22 - progresiones.md,221,"A tus (YYYY) años aproximadamente te provoca desvalorización personal y pérdidas de índole material, sentimental o social.",
22 - progresiones.md,225,"A tus (YYYY) años aproximadamente señala un nuevo estado en tí, un enfoque novedoso de tu personalidad y de la forma de expresar tus talentos y potencialidades.",
22 - progresiones.md,229,"A tus (YYYY) años aproximadamente ayuda para que los asuntos del hogar, la familia, el cuidado y la nutrición de tu entorno alcancen una expresión óptima.",
22 - progresiones.md,233,"A tus (YYYY) años aproximadamente pudo producir conflictos con tu familia, problemas en el hogar, o emocionalidades desordenadas que dieron lugar a crisis psíquicas.",
22 - progresiones.md,237,"A tus (YYYY) años aproximadamente marca un nuevo punto de partida en tu vida en relación a tu familia y tu hogar y en la manera de cuidar, nutrir y proteger al otro así como de sentirte seguro.",
22 - progresiones.md,241,"A tus (YYYY) años aproximadamente te favoreció en los estudios, la comunicación, los logros intelectuales, el comercio y las relaciones con tus pares.",
22 - progresiones.md,245,"A tus (YYYY) años aproximadamente te imposibilitó el aprendizaje, la difusión de conocimientos, los proyectos intelectuales, la comunicación, los viajes cortos y los vínculos con tus pares.",
22 - progresiones.md,249,"A tus (YYYY) años aproximadamente señala un nuevo estado en intelectual y en tu manera de comunicarte, así como en tu vínculo con tus pares.",
22 - progresiones.md,253,"A tus (YYYY) años aproximadamente te favorece en los vínculos, dotándote de una vida social activa. Aumenta tu carisma y te vuelve más seductor.",
22 - progresiones.md,257,"A tus (YYYY) años aproximadamente te favorece en la productividad y te vuelve más activo. Es así como tomas iniciativas, te llenas de entusiasmo y estás más motivado.",
22 - progresiones.md,261,"A tus (YYYY) años aproximadamente puede causarte reacciones desmedidas y hasta accidentes. Estás más irascible, reaccionando ante el menor estímulo.",
Maestro_Tropical.md,1231,"**Urano, el planeta de la originalidad y la libertad, está retrógrado en tu Carta**. Esto significa que cuando naciste, su movimiento en el cielo era hacia atrás. Esto hace que anheles encontrar algo distinto y desconocido, aunque sin un vehículo claro para hacerlo. Si no logras canalizarlo, esto se manifestará como irritabilidad, angustia e insatisfacción. Al retomar su movimiento directo por progresiones, a tus (YYYY) años, esta tendencia se revertirá, y a partir de entonces te será más sencillo darle lugar a tu originalidad. (Atención, al ser lento es posible que no retome el movimiento directo por progresiones en toda la vida del individuo)",
Maestro_Tropical.md,1384,"Con el intenso **Plutón en casa doce** es normal que muestres interés por lo oculto y reprimido a nivel colectivo, y que te preocupes por ayudar a quienes son despreciados por la comunidad. Cada tanto necesitas retirarte a algún lugar tranquilo para estar en soledad. Otra interpretación de esta posición es que de joven, a tus (YYYY) años, Plutón pasó por el ascendente produciendo cambios y crisis profundas en su vida.",
Maestro_Tropical.md,1557,"El **stellium** es un grupo de planetas ubicados en el mismo signo que influyen unos a otros y al hacerlo concentran gran cantidad de energía. Como tienes un Stellium en el signo de (YYYY) y la casa WWW, a lo largo de tu vida te enfocarás en el área de (YYYY).",
Maestro_Tropical.md,1561,"**El Yod** es una configuración que aparece en la Carta de personas cuyo destino tiende a ser singular, con cambios a lo largo de la vida que deben enfrentar a través de un cambio de conciencia. El planeta focal (o más sensible) dentro de la configuración indica qué energía debe ser corregida y regenerada. El Yod requiere renunciar al pasado para ingresar en una nueva etapa, y su influencia es especialmente fuerte cuando está activado por un tránsito. En tu caso, este tránsito se dio en (YYYY).",
Maestro_Tropical.md,2337,"Con **Urano en la casa dos** desde (YYYY) y hasta (YYYY), necesitas enfrentar cambios en el área de la independencia económica, tu actitud frente al dinero y la forma en que distribuyes tu energía. Este tránsito dura aproximadamente siete años, pero se siente con más fuerza al inicio.",
Maestro_Tropical.md,2341,"Con **Urano en la casa tres** desde (YYYY) y hasta (YYYY), surgen nuevas ideas, estudios y conocimientos que modifican radicalmente tu punto de vista y te hacen más receptivo. Puede que pienses en mudarte para cambiar de ambiente. También pueden darse cambios en el vínculo con tus hermanos. Este tránsito dura aproximadamente siete años, pero se siente con más fuerza al inicio.",
Maestro_Tropical.md,2345,"Con **Urano en la casa cuatro** desde (YYYY) y hasta (YYYY), tiendes a modificar asuntos relacionados con la familia y el hogar. Puede que tu vida cotidiana sufra cambios bruscos e innovadores que te hagan más independiente. Es probable que durante este tránsito necesites tomar distancia de asuntos familiares o del pasado que te asfixian o limitan tu libertad para cambiar la forma en que te relacionas con tu familia. En ocasiones habrá una mudanza inesperada. Este tránsito dura aproximadamente siete años, pero se siente con más fuerza al inicio.",
Maestro_Tropical.md,2349,"Con **Urano en la casa cinco** desde (YYYY) y hasta (YYYY), aumenta tu creatividad y te sentirás más original. En el área afectiva, seguramente tengas encuentros amorosos inesperados que prosperarán siempre y cuando no te hagan renunciar a tu libertad personal. Este tránsito dura aproximadamente siete años, pero se siente con más fuerza al inicio.",
Maestro_Tropical.md,2353,"Con **Urano en la casa seis** desde (YYYY) y hasta (YYYY), pasarás por momentos de estrés laboral, ya que necesitas mayor independencia y libertad creativa en el trabajo. Podrían darse conflictos con superiores o subordinados. Con este tránsito suele haber cambios inesperados de empleo, o bien un nuevo enfoque en él. Este tránsito dura unos siete años y se siente con más fuerza al inicio.",
Maestro_Tropical.md,2357,"Con **Urano en la casa siete** desde (YYYY) y hasta (YYYY), aumenta tu necesidad de independencia en las relaciones personales. Es importante que hagas los cambios necesarios para no sentirte limitado en los vínculos; de lo contrario te serán muy difíciles de sostener. A veces, este tránsito supone separaciones y rupturas con la pareja, amigos o socios. En su mejor versión supone la oportunidad de conocer personas originales y libres. Es un tránsito que dura aproximadamente siete años pero se siente con más fuerza al inicio.",
Maestro_Tropical.md,2361,"Con **Urano en la casa ocho** desde (YYYY) y hasta (YYYY), hay cambios en el terreno de lo compartido. Puede traer altibajos en la situación económica del cónyuge, herencias inesperadas o cambios abruptos en la economía debido a negocios con un socio. La casa ocho también es la del sexo, por lo que es posible que haya innovaciones en este ámbito. Es un tránsito que dura aproximadamente siete años pero se siente con más fuerza al inicio.",
Maestro_Tropical.md,2365,"Con **Urano en la casa nueve** desde (YYYY) y hasta (YYYY), es probable que entres en contacto con nuevas ideas, tal vez a raíz de un viaje o estudios. Es momento de cambios en las convicciones.",
Maestro_Tropical.md,2369,"Con **Urano en la casa diez** desde (YYYY) y hasta (YYYY), necesitas más independencia y libertad profesional. Este tránsito a veces viene acompañado de roces con las figuras de autoridad ya que hace que te cueste adaptarte a las exigencias y hace que te sientas ahogado por la rutina. Puede que te den ganas de trabajar de manera independiente o de hacer algún cambio en la forma en que te muestras a la sociedad. Es un tránsito que dura unos siete años pero se siente con más fuerza al inicio.",
Maestro_Tropical.md,2373,"Con **Urano en la casa once** desde (YYYY) y hasta (YYYY), puede que conozcas gente nueva y original. Es un período de independencia en las ideas, con nuevos planes sociales o profesionales. Es un tránsito que dura aproximadamente siete años pero se siente con más fuerza al inicio.",
Maestro_Tropical.md,2377,"Con **Urano en la casa doce** desde (YYYY) y hasta (YYYY), suelen reaparecer situaciones o personas del pasado con quienes tienes asuntos pendientes; es un buen momento para poner las cuentas al día. Si estás vinculado con alguna institución (hospitales, museos, bibliotecas, ONGs, etc.) durante este período aumenta tu insatisfacción y es posible que busques modificar tu entorno. Esta tiende a ser una época de inquietud en la que necesitas cambios pero no estás en condiciones de implementarlos, el momento adecuado será al final del tránsito cuando Urano ingrese en la casa uno.",
Maestro_Tropical.md,2383,"Este tránsito hace que **Urano** **toque el Sol** generándote mucha inquietud, ya que se viene un cambio que hace que rompas estructuras, sobre todo en el área de (YYYY). Como tienes un lado conservador, los cambios pueden venir de la mano de otras personas que traen innovaciones, nuevas posturas e ideas. Es un tránsito de rupturas, liberaciones y quiebres que barre con ataduras del pasado.",
Maestro_Tropical.md,2387,"**El tránsito de Urano a la Luna natal en** (YYYY) señala que necesitas hacer un cambio en tu vida hogareña, o bien con respecto a tu madre y las mujeres en general. Puede implicar mudanzas, sobre todo si son repentinas e inesperadas. También te puede traer angustia porque necesitas más libertad y desapego. Te sientes invadido, pero al mismo tiempo anhelas conservar aquello que te encierra pues te da un fuerte sentido de pertenencia. Debes encontrar la distancia justa en el vínculo con otros para no sentirte ahogado. Puede que vivas este tránsito como algo ajeno que la vida te trae.",
Maestro_Tropical.md,2391,"**El tránsito de Urano a Mercurio natal** en (YYYY) te produce cambios a nivel de la mente, haciendo que aumente tu interés por lo novedoso; es un excelente momento para estudiar cosas nuevas. Verás cómo se transforman tus actitudes y tu modo de ver las cosas: hay más desapego, más libertad y respuestas novedosas a viejos problemas. Como **Mercurio** representa a los hermanos y a los pares, este tránsito puede provocar rupturas y peleas para reajustar estos vínculos.",
